Date,Open,High,Low,Close,Prev. Close,Change,% Change
26-Nov-19,15.0025,15.1275,13.1075,14.8375,15.0025,-0.16,-1.1
27-Nov-19,14.8375,14.8375,12.3575,14.6175,14.8375,-0.22,-1.48
28-Nov-19,14.6175,14.6175,12.8875,13.9875,14.6175,-0.63,-4.31
29-Nov-19,13.9875,14.2925,13.14,13.8975,13.9875,-0.09,-0.64
02-Dec-19,13.8975,15.845,13.4975,14.2025,13.8975,0.3,2.19
03-Dec-19,14.2025,16.3425,12.07,14.5625,14.2025,0.36,2.53
04-Dec-19,14.5625,15.8725,12.2625,13.3225,14.5625,-1.24,-8.52
05-Dec-19,13.3225,15.12,12.8275,14.305,13.3225,0.98,7.37
06-Dec-19,14.305,14.7225,11.4075,13.64,14.305,-0.66,-4.65
09-Dec-19,13.64,15.3625,12.465,14.5975,13.64,0.96,7.02
10-Dec-19,14.5975,15.6625,11.735,14.29,14.5975,-0.31,-2.11
11-Dec-19,14.29,14.4475,11.71,13.3775,14.29,-0.91,-6.39
12-Dec-19,13.3775,13.765,11.825,13.3475,13.3775,-0.03,-0.22
13-Dec-19,13.3475,14.67,12.185,13.3,13.3475,-0.05,-0.36
16-Dec-19,13.3,14.11,12.5,13.415,13.3,0.11,0.86
17-Dec-19,13.415,13.425,11.955,12.5175,13.415,-0.9,-6.69
18-Dec-19,12.5175,12.715,11.39,12.3375,12.5175,-0.18,-1.44
19-Dec-19,12.3375,12.415,11.325,12.1225,12.3375,-0.21,-1.74
20-Dec-19,12.1225,12.7325,11.9025,12.325,12.1225,0.2,1.67
23-Dec-19,12.325,14.505,10.695,11.9575,12.325,-0.37,-2.98
24-Dec-19,11.9575,13.31,10.8875,11.625,11.9575,-0.33,-2.78
26-Dec-19,11.625,12.3475,10.8425,11.1225,11.625,-0.5,-4.32
27-Dec-19,11.1225,11.4675,10.425,10.525,11.1225,-0.6,-5.37
30-Dec-19,10.525,11.4525,9.6175,11.0075,10.525,0.48,4.58
31-Dec-19,11.0075,11.7925,10.44,11.6675,11.0075,0.66,6
01-Jan-20,11.6675,11.73,11.085,11.5975,11.6675,-0.07,-0.6
02-Jan-20,11.5975,11.7,10.73,11.49,11.5975,-0.11,-0.93
03-Jan-20,11.49,12.94,10.685,12.695,11.49,1.21,10.49
06-Jan-20,12.695,15.095,12.695,14.7775,12.695,2.08,16.4
07-Jan-20,14.7775,14.9125,14.4625,14.61,14.7775,-0.17,-1.13
08-Jan-20,14.61,16.3875,13.7925,15.64,14.61,1.03,7.05
09-Jan-20,15.64,15.64,12.995,13.9975,15.64,-1.64,-10.5
10-Jan-20,13.9975,14.245,13.1775,14.0775,13.9975,0.08,0.57
13-Jan-20,14.0775,14.495,13.5775,14.275,14.0775,0.2,1.4
14-Jan-20,14.275,14.275,13.0625,13.9125,14.275,-0.36,-2.54
15-Jan-20,13.9125,14.4575,13.585,14.12,13.9125,0.21,1.49
16-Jan-20,14.12,14.365,12.5975,14.1825,14.12,0.06,0.44
17-Jan-20,14.1825,14.53,12.5025,14.1275,14.1825,-0.05,-0.39
20-Jan-20,14.1275,15.495,12.465,15.41,14.1275,1.28,9.08
21-Jan-20,15.41,16.04,15.0725,15.8625,15.41,0.45,2.94
22-Jan-20,15.8625,16.61,15.3575,16.36,15.8625,0.5,3.14
23-Jan-20,16.36,16.7075,15.7775,15.855,16.36,-0.5,-3.09
24-Jan-20,15.855,16.215,14.5925,15.56,15.855,-0.29,-1.86
27-Jan-20,15.56,17.34,14.6825,17.175,15.56,1.62,10.38
28-Jan-20,17.175,17.615,16.9575,17.2975,17.175,0.12,0.71
29-Jan-20,17.2975,17.2975,15.6525,16.4975,17.2975,-0.8,-4.62
30-Jan-20,16.4975,17.14,15.38,16.7975,16.4975,0.3,1.82
31-Jan-20,16.7975,17.59,14.9025,17.3675,16.7975,0.57,3.39
01-Feb-20,17.3675,17.93,16.0325,16.835,17.3675,-0.53,-3.07
03-Feb-20,16.835,17.03,15.4825,15.7825,16.835,-1.05,-6.25
04-Feb-20,15.7825,15.7825,14.31,14.38,15.7825,-1.4,-8.89
05-Feb-20,14.38,14.525,13.8175,14.1725,14.38,-0.21,-1.44
06-Feb-20,14.1725,14.2425,12.645,13.78,14.1725,-0.39,-2.77
07-Feb-20,13.78,13.9925,12.975,13.7475,13.78,-0.03,-0.24
10-Feb-20,13.7475,14.6,12.965,14.21,13.7475,0.46,3.36
11-Feb-20,14.21,14.21,11.375,13.88,14.21,-0.33,-2.32
12-Feb-20,13.88,13.88,13.1475,13.6225,13.88,-0.26,-1.86
13-Feb-20,13.6225,13.6725,11.8,13.37,13.6225,-0.25,-1.85
14-Feb-20,13.37,13.9875,11.9025,13.615,13.37,0.25,1.83
17-Feb-20,13.615,14.6175,13.38,14.415,13.615,0.8,5.88
18-Feb-20,14.415,14.82,11.375,14.51,14.415,0.1,0.66
19-Feb-20,14.51,14.51,13.4825,14.0225,14.51,-0.49,-3.36
